"","Wormbase.ID","ï..Sequence.ID","Category.1","Category.2","Category.3","Description"
"1","not found",NA,NA,NA,NA,NA
"2","WBGene00000001",NA,NA,NA,NA,NA
"3","WBGene00000002",NA,NA,NA,NA,NA
"4","WBGene00000003",NA,NA,NA,NA,NA
"5","WBGene00000004",NA,NA,NA,NA,NA
"6","WBGene00000006",NA,NA,NA,NA,NA
"7","WBGene00000017",NA,NA,NA,NA,NA
"8","WBGene00000018",NA,NA,NA,NA,NA
"9","WBGene00000020",NA,NA,NA,NA,NA
"10","WBGene00000031",NA,NA,NA,NA,NA
"11","WBGene00000035",NA,NA,NA,NA,NA
"12","WBGene00000036",NA,NA,NA,NA,NA
"13","WBGene00000037",NA,NA,NA,NA,NA
"14","WBGene00000038",NA,NA,NA,NA,NA
"15","WBGene00000040",NA,NA,NA,NA,NA
"16","WBGene00000041",NA,NA,NA,NA,NA
"17","WBGene00000042",NA,NA,NA,NA,NA
"18","WBGene00000044",NA,NA,NA,NA,NA
"19","WBGene00000048",NA,NA,NA,NA,NA
"20","WBGene00000051",NA,NA,NA,NA,NA
"21","WBGene00000054",NA,NA,NA,NA,NA
"22","WBGene00000055",NA,NA,NA,NA,NA
"23","WBGene00000056",NA,NA,NA,NA,NA
"24","WBGene00000057",NA,NA,NA,NA,NA
"25","WBGene00000058",NA,NA,NA,NA,NA
"26","WBGene00000059",NA,NA,NA,NA,NA
"27","WBGene00000060",NA,NA,NA,NA,NA
"28","WBGene00000062",NA,NA,NA,NA,NA
"29","WBGene00000063",NA,NA,NA,NA,NA
"30","WBGene00000064",NA,NA,NA,NA,NA
"31","WBGene00000065",NA,NA,NA,NA,NA
"32","WBGene00000066",NA,NA,NA,NA,NA
"33","WBGene00000067",NA,NA,NA,NA,NA
"34","WBGene00000068",NA,NA,NA,NA,NA
"35","WBGene00000069",NA,NA,NA,NA,NA
"36","WBGene00000070",NA,NA,NA,NA,NA
"37","WBGene00000071",NA,NA,NA,NA,NA
"38","WBGene00000072",NA,NA,NA,NA,NA
"39","WBGene00000073",NA,NA,NA,NA,NA
"40","WBGene00000074",NA,NA,NA,NA,NA
"41","WBGene00000079",NA,NA,NA,NA,NA
"42","WBGene00000080",NA,NA,NA,NA,NA
"43","WBGene00000081",NA,NA,NA,NA,NA
"44","WBGene00000083",NA,NA,NA,NA,NA
"45","WBGene00000085",NA,NA,NA,NA,NA
"46","WBGene00000086",NA,NA,NA,NA,NA
"47","WBGene00000088",NA,NA,NA,NA,NA
"48","WBGene00000089",NA,NA,NA,NA,NA
"49","WBGene00000090",NA,NA,NA,NA,NA
"50","WBGene00000092",NA,NA,NA,NA,NA
"51","WBGene00000093",NA,NA,NA,NA,NA
"52","WBGene00000094",NA,NA,NA,NA,NA
"53","WBGene00000095",NA,NA,NA,NA,NA
"54","WBGene00000096",NA,NA,NA,NA,NA
"55","WBGene00000097",NA,NA,NA,NA,NA
"56","WBGene00000099",NA,NA,NA,NA,NA
"57","WBGene00000100",NA,NA,NA,NA,NA
"58","WBGene00000101",NA,NA,NA,NA,NA
"59","WBGene00000102",NA,NA,NA,NA,NA
"60","WBGene00000103",NA,NA,NA,NA,NA
"61","WBGene00000105",NA,NA,NA,NA,NA
"62","WBGene00000106",NA,NA,NA,NA,NA
"63","WBGene00000107",NA,NA,NA,NA,NA
"64","WBGene00000109",NA,NA,NA,NA,NA
"65","WBGene00000110",NA,NA,NA,NA,NA
"66","WBGene00000112",NA,NA,NA,NA,NA
"67","WBGene00000113",NA,NA,NA,NA,NA
"68","WBGene00000114",NA,NA,NA,NA,NA
"69","WBGene00000115",NA,NA,NA,NA,NA
"70","WBGene00000117",NA,NA,NA,NA,NA
"71","WBGene00000118",NA,NA,NA,NA,NA
"72","WBGene00000120",NA,NA,NA,NA,NA
"73","WBGene00000121",NA,NA,NA,NA,NA
"74","WBGene00000122",NA,NA,NA,NA,NA
"75","WBGene00000123",NA,NA,NA,NA,NA
"76","WBGene00000134",NA,NA,NA,NA,NA
"77","WBGene00000135",NA,NA,NA,NA,NA
"78","WBGene00000137",NA,NA,NA,NA,NA
"79","WBGene00000138",NA,NA,NA,NA,NA
"80","WBGene00000140",NA,NA,NA,NA,NA
"81","WBGene00000142",NA,NA,NA,NA,NA
"82","WBGene00000143",NA,NA,NA,NA,NA
"83","WBGene00000145",NA,NA,NA,NA,NA
"84","WBGene00000146",NA,NA,NA,NA,NA
"85","WBGene00000147",NA,NA,NA,NA,NA
"86","WBGene00000148",NA,NA,NA,NA,NA
"87","WBGene00000149",NA,NA,NA,NA,NA
"88","WBGene00000150",NA,NA,NA,NA,NA
"89","WBGene00000151",NA,NA,NA,NA,NA
"90","WBGene00000155",NA,NA,NA,NA,NA
"91","WBGene00000156",NA,NA,NA,NA,NA
"92","WBGene00000157",NA,NA,NA,NA,NA
"93","WBGene00000158",NA,NA,NA,NA,NA
"94","WBGene00000159",NA,NA,NA,NA,NA
"95","WBGene00000160",NA,NA,NA,NA,NA
"96","WBGene00000161",NA,NA,NA,NA,NA
"97","WBGene00000162",NA,NA,NA,NA,NA
"98","WBGene00000163",NA,NA,NA,NA,NA
"99","WBGene00000164",NA,NA,NA,NA,NA
"100","WBGene00000165",NA,NA,NA,NA,NA
"101","WBGene00000166",NA,NA,NA,NA,NA
"102","WBGene00000170",NA,NA,NA,NA,NA
"103","WBGene00000173",NA,NA,NA,NA,NA
"104","WBGene00000175",NA,NA,NA,NA,NA
"105","WBGene00000176",NA,NA,NA,NA,NA
"106","WBGene00000178",NA,NA,NA,NA,NA
"107","WBGene00000179",NA,NA,NA,NA,NA
"108","WBGene00000180",NA,NA,NA,NA,NA
"109","WBGene00000181",NA,NA,NA,NA,NA
"110","WBGene00000182",NA,NA,NA,NA,NA
"111","WBGene00000183",NA,NA,NA,NA,NA
"112","WBGene00000184",NA,NA,NA,NA,NA
"113","WBGene00000186",NA,NA,NA,NA,NA
"114","WBGene00000187",NA,NA,NA,NA,NA
"115","WBGene00000188",NA,NA,NA,NA,NA
"116","WBGene00000192",NA,NA,NA,NA,NA
"117","WBGene00000193",NA,NA,NA,NA,NA
"118","WBGene00000195",NA,NA,NA,NA,NA
"119","WBGene00000196",NA,NA,NA,NA,NA
"120","WBGene00000197",NA,NA,NA,NA,NA
"121","WBGene00000198",NA,NA,NA,NA,NA
"122","WBGene00000199",NA,NA,NA,NA,NA
"123","WBGene00000200",NA,NA,NA,NA,NA
"124","WBGene00000201",NA,NA,NA,NA,NA
"125","WBGene00000202",NA,NA,NA,NA,NA
"126","WBGene00000203",NA,NA,NA,NA,NA
"127","WBGene00000204",NA,NA,NA,NA,NA
"128","WBGene00000205",NA,NA,NA,NA,NA
"129","WBGene00000206",NA,NA,NA,NA,NA
"130","WBGene00000207",NA,NA,NA,NA,NA
"131","WBGene00000208",NA,NA,NA,NA,NA
"132","WBGene00000209",NA,NA,NA,NA,NA
"133","WBGene00000210",NA,NA,NA,NA,NA
"134","WBGene00000214",NA,NA,NA,NA,NA
"135","WBGene00000216",NA,NA,NA,NA,NA
"136","WBGene00000217",NA,NA,NA,NA,NA
"137","WBGene00000219",NA,NA,NA,NA,NA
"138","WBGene00000220",NA,NA,NA,NA,NA
"139","WBGene00000221",NA,NA,NA,NA,NA
"140","WBGene00000222",NA,NA,NA,NA,NA
"141","WBGene00000223",NA,NA,NA,NA,NA
"142","WBGene00000224",NA,NA,NA,NA,NA
"143","WBGene00000225",NA,NA,NA,NA,NA
"144","WBGene00000226",NA,NA,NA,NA,NA
"145","WBGene00000228",NA,NA,NA,NA,NA
"146","WBGene00000229",NA,NA,NA,NA,NA
"147","WBGene00000230",NA,NA,NA,NA,NA
"148","WBGene00000231",NA,NA,NA,NA,NA
"149","WBGene00000232",NA,NA,NA,NA,NA
"150","WBGene00000233",NA,NA,NA,NA,NA
"151","WBGene00000235",NA,NA,NA,NA,NA
"152","WBGene00000236",NA,NA,NA,NA,NA
"153","WBGene00000237",NA,NA,NA,NA,NA
"154","WBGene00000238",NA,NA,NA,NA,NA
"155","WBGene00000239",NA,NA,NA,NA,NA
"156","WBGene00000240",NA,NA,NA,NA,NA
"157","WBGene00000241",NA,NA,NA,NA,NA
"158","WBGene00000244",NA,NA,NA,NA,NA
"159","WBGene00000245",NA,NA,NA,NA,NA
"160","WBGene00000247",NA,NA,NA,NA,NA
"161","WBGene00000248",NA,NA,NA,NA,NA
"162","WBGene00000249",NA,NA,NA,NA,NA
"163","WBGene00000254",NA,NA,NA,NA,NA
"164","WBGene00000256",NA,NA,NA,NA,NA
"165","WBGene00000259",NA,NA,NA,NA,NA
"166","WBGene00000262",NA,NA,NA,NA,NA
"167","WBGene00000263",NA,NA,NA,NA,NA
"168","WBGene00000266",NA,NA,NA,NA,NA
"169","WBGene00000268",NA,NA,NA,NA,NA
